src,tgt,method,dim,seed,acc,f1,auc,acc_src,f1_src,auc_src,delta_acc,delta_f1,delta_auc
IMDB-MULTI,MUTAG,netlsd,64,0,0.4308510638297872,0.2992555512771146,0.5822857142857143,0.732,0.7320475697616294,0.9045223333333334,0.30114893617021277,0.4327920184845148,0.32223661904761913
IMDB-MULTI,ENZYMES,netlsd,64,0,0.17,0.09523826100840867,0.5020166666666667,0.732,0.7320475697616294,0.9045223333333334,0.5619999999999999,0.6368093087532207,0.40250566666666676
IMDB-MULTI,IMDB-MULTI,netlsd,64,0,0.732,0.7320475697616294,0.9045223333333334,0.732,0.7320475697616294,0.9045223333333334,0.0,0.0,0.0
MUTAG,MUTAG,gin,64,0,0.9574468085106383,0.9526209677419355,0.9904761904761905,0.9574468085106383,0.9526209677419355,0.9904761904761905,0.0,0.0,0.0
MUTAG,ENZYMES,gin,64,0,0.13833333333333334,0.06745821896535804,0.45899,0.9574468085106383,0.9526209677419355,0.9904761904761905,0.819113475177305,0.8851627487765774,0.5314861904761905
MUTAG,IMDB-MULTI,gin,64,0,0.31733333333333336,0.21499144400798495,0.480382,0.9574468085106383,0.9526209677419355,0.9904761904761905,0.640113475177305,0.7376295237339505,0.5100941904761905
ENZYMES,MUTAG,gin,64,0,0.02127659574468085,0.029411764705882353,0.23561904761904762,0.755,0.7549703260028134,0.9552900000000001,0.7337234042553191,0.7255585612969311,0.7196709523809525
ENZYMES,ENZYMES,gin,64,0,0.755,0.7549703260028134,0.9552900000000001,0.755,0.7549703260028134,0.9552900000000001,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,gin,64,0,0.007333333333333333,0.009927797833935019,,0.755,0.7549703260028134,0.9552900000000001,0.7476666666666667,0.7450425281688784,
IMDB-MULTI,MUTAG,gin,64,0,0.3351063829787234,0.250996015936255,0.21917460317460316,0.49466666666666664,0.4791673614764939,0.677221,0.15956028368794323,0.22817134554023893,0.45804639682539683
IMDB-MULTI,ENZYMES,gin,64,0,0.15166666666666667,0.07255809110112761,0.4905199999999999,0.49466666666666664,0.4791673614764939,0.677221,0.34299999999999997,0.4066092703753663,0.18670100000000006
IMDB-MULTI,IMDB-MULTI,gin,64,0,0.49466666666666664,0.4791673614764939,0.677221,0.49466666666666664,0.4791673614764939,0.677221,0.0,0.0,0.0
MUTAG,MUTAG,graph2vec,128,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MUTAG,ENZYMES,graph2vec,128,0,0.16666666666666666,0.04775549188156638,0.5,1.0,1.0,1.0,0.8333333333333334,0.9522445081184336,0.5
MUTAG,IMDB-MULTI,graph2vec,128,0,0.2986666666666667,0.2266326527617787,0.46017700000000006,1.0,1.0,1.0,0.7013333333333334,0.7733673472382213,0.5398229999999999
ENZYMES,MUTAG,graph2vec,128,0,0.0,0.0,0.3787936507936508,1.0,1.0,1.0,1.0,1.0,0.6212063492063492
ENZYMES,ENZYMES,graph2vec,128,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,graph2vec,128,0,0.006666666666666667,0.0077655864750687115,,1.0,1.0,1.0,0.9933333333333333,0.9922344135249312,
IMDB-MULTI,MUTAG,graph2vec,128,0,0.3351063829787234,0.250996015936255,0.3922539682539683,0.966,0.9663174499589072,0.9992653333333333,0.6308936170212766,0.7153214340226522,0.607011365079365
IMDB-MULTI,ENZYMES,graph2vec,128,0,0.16666666666666666,0.047619047619047616,0.5024666666666667,0.966,0.9663174499589072,0.9992653333333333,0.7993333333333333,0.9186984023398597,0.4967986666666666
IMDB-MULTI,IMDB-MULTI,graph2vec,128,0,0.966,0.9663174499589072,0.9992653333333333,0.966,0.9663174499589072,0.9992653333333333,0.0,0.0,0.0
MUTAG,MUTAG,netlsd,128,0,0.9893617021276596,0.9879672299027138,0.9994285714285714,0.9893617021276596,0.9879672299027138,0.9994285714285714,0.0,0.0,0.0
MUTAG,ENZYMES,netlsd,128,0,0.16166666666666665,0.07593383737275756,0.4696,0.9893617021276596,0.9879672299027138,0.9994285714285714,0.827695035460993,0.9120333925299562,0.5298285714285714
MUTAG,IMDB-MULTI,netlsd,128,0,0.3486666666666667,0.22293295569441463,0.47648,0.9893617021276596,0.9879672299027138,0.9994285714285714,0.6406950354609929,0.7650342742082992,0.5229485714285714
ENZYMES,MUTAG,netlsd,128,0,0.06914893617021277,0.035268568915278464,0.4034920634920635,1.0,1.0,1.0,0.9308510638297872,0.9647314310847215,0.5965079365079364
ENZYMES,ENZYMES,netlsd,128,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,netlsd,128,0,0.24266666666666667,0.1333780944646552,,1.0,1.0,1.0,0.7573333333333333,0.8666219055353448,
IMDB-MULTI,MUTAG,netlsd,128,0,0.2127659574468085,0.1792528459195126,0.5393650793650794,0.7373333333333333,0.737376265154043,0.9102459999999999,0.5245673758865248,0.5581234192345303,0.3708809206349205
IMDB-MULTI,ENZYMES,netlsd,128,0,0.16,0.0854868052104233,0.48929666666666666,0.7373333333333333,0.737376265154043,0.9102459999999999,0.5773333333333333,0.6518894599436197,0.42094933333333323
IMDB-MULTI,IMDB-MULTI,netlsd,128,0,0.7373333333333333,0.737376265154043,0.9102459999999999,0.7373333333333333,0.737376265154043,0.9102459999999999,0.0,0.0,0.0
MUTAG,MUTAG,gin,128,0,0.9680851063829787,0.9649776453055141,0.9965714285714286,0.9680851063829787,0.9649776453055141,0.9965714285714286,0.0,0.0,0.0
MUTAG,ENZYMES,gin,128,0,0.17,0.05448006990656718,0.508945,0.9680851063829787,0.9649776453055141,0.9965714285714286,0.7980851063829787,0.9104975753989469,0.48762642857142857
MUTAG,IMDB-MULTI,gin,128,0,0.348,0.24106940919337616,0.5190515,0.9680851063829787,0.9649776453055141,0.9965714285714286,0.6200851063829788,0.723908236112138,0.47751992857142855
ENZYMES,MUTAG,gin,128,0,0.14361702127659576,0.09000000000000001,0.5,0.9366666666666666,0.9368693402765945,0.9966666666666667,0.7930496453900708,0.8468693402765946,0.4966666666666667
ENZYMES,ENZYMES,gin,128,0,0.9366666666666666,0.9368693402765945,0.9966666666666667,0.9366666666666666,0.9368693402765945,0.9966666666666667,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,gin,128,0,0.3626666666666667,0.2781692635850652,,0.9366666666666666,0.9368693402765945,0.9966666666666667,0.574,0.6587000766915293,
IMDB-MULTI,MUTAG,gin,128,0,0.30851063829787234,0.1659513590844063,0.5,0.5166666666666667,0.5036180640787989,0.6980806666666668,0.20815602836879438,0.33766670499439266,0.1980806666666668
IMDB-MULTI,ENZYMES,gin,128,0,0.17,0.05429143959398467,0.5036733333333333,0.5166666666666667,0.5036180640787989,0.6980806666666668,0.3466666666666667,0.44932662448481425,0.1944073333333335
IMDB-MULTI,IMDB-MULTI,gin,128,0,0.5166666666666667,0.5036180640787989,0.6980806666666668,0.5166666666666667,0.5036180640787989,0.6980806666666668,0.0,0.0,0.0
MUTAG,MUTAG,graph2vec,256,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MUTAG,ENZYMES,graph2vec,256,0,0.17166666666666666,0.05748544021925317,0.51198,1.0,1.0,1.0,0.8283333333333334,0.9425145597807468,0.48802
MUTAG,IMDB-MULTI,graph2vec,256,0,0.332,0.1894721701435388,0.5152650000000001,1.0,1.0,1.0,0.6679999999999999,0.8105278298564612,0.4847349999999999
ENZYMES,MUTAG,graph2vec,256,0,0.0,0.0,0.37206349206349204,1.0,1.0,1.0,1.0,1.0,0.627936507936508
ENZYMES,ENZYMES,graph2vec,256,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,graph2vec,256,0,0.0006666666666666666,0.000665335994677312,,1.0,1.0,1.0,0.9993333333333333,0.9993346640053227,
IMDB-MULTI,MUTAG,graph2vec,256,0,0.3351063829787234,0.250996015936255,0.3619047619047619,0.828,0.8280115085734604,0.9625940000000001,0.49289361702127654,0.5770154926372054,0.6006892380952382
IMDB-MULTI,ENZYMES,graph2vec,256,0,0.16666666666666666,0.047619047619047616,0.5090633333333333,0.828,0.8280115085734604,0.9625940000000001,0.6613333333333333,0.7803924609544128,0.45353066666666675
IMDB-MULTI,IMDB-MULTI,graph2vec,256,0,0.828,0.8280115085734604,0.9625940000000001,0.828,0.8280115085734604,0.9625940000000001,0.0,0.0,0.0
MUTAG,MUTAG,netlsd,256,0,0.9095744680851063,0.9004206262657735,0.9579682539682539,0.9095744680851063,0.9004206262657735,0.9579682539682539,0.0,0.0,0.0
MUTAG,ENZYMES,netlsd,256,0,0.16833333333333333,0.05401425752816675,0.422185,0.9095744680851063,0.9004206262657735,0.9579682539682539,0.741241134751773,0.8464063687376067,0.5357832539682539
MUTAG,IMDB-MULTI,netlsd,256,0,0.334,0.17165456736058826,0.44186499999999995,0.9095744680851063,0.9004206262657735,0.9579682539682539,0.5755744680851063,0.7287660589051852,0.516103253968254
ENZYMES,MUTAG,netlsd,256,0,0.0,0.0,0.7547936507936508,0.3416666666666667,0.3339506198123859,0.71046,0.3416666666666667,0.3339506198123859,-0.044333650793650814
ENZYMES,ENZYMES,netlsd,256,0,0.3416666666666667,0.3339506198123859,0.71046,0.3416666666666667,0.3339506198123859,0.71046,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,netlsd,256,0,0.08,0.0564042303172738,,0.3416666666666667,0.3339506198123859,0.71046,0.26166666666666666,0.27754638949511207,
IMDB-MULTI,MUTAG,netlsd,256,0,0.648936170212766,0.6147540983606558,0.6535873015873016,0.47733333333333333,0.46347670509320915,0.6505206666666666,-0.17160283687943262,-0.1512773932674466,-0.0030666349206349697
IMDB-MULTI,ENZYMES,netlsd,256,0,0.16,0.05602334771619678,0.5187499999999999,0.47733333333333333,0.46347670509320915,0.6505206666666666,0.31733333333333336,0.4074533573770124,0.1317706666666667
IMDB-MULTI,IMDB-MULTI,netlsd,256,0,0.47733333333333333,0.46347670509320915,0.6505206666666666,0.47733333333333333,0.46347670509320915,0.6505206666666666,0.0,0.0,0.0
MUTAG,MUTAG,gin,256,0,0.973404255319149,0.9704986975488812,0.9991111111111111,0.973404255319149,0.9704986975488812,0.9991111111111111,0.0,0.0,0.0
